price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
3270.0,39.4,47.2,Unique,female,gallery,oil,signed,0.0,4.0,other,images_thesis\2324586_1_m.jpg
472.0,11.8,11.8,Unique,unknown,gallery,other,signed,6.0,3.0,other,images_thesis\2303831_1_m.jpg
2398.0,39.4,39.4,Unique,female,independent,acrylic,signed,4.0,3.0,other,images_thesis\1587288_1_m.jpg
3522.0,23.6,19.7,Unique,male,gallery,oil,signed,25.0,9.0,Spain,images_thesis\2328650_1_m.jpg
727.0,23.6,23.6,Unique,female,gallery,oil,signed,10.0,10.0,France,images_thesis\1173564_1_m.jpg
1756.0,25.6,19.7,Unique,female,gallery,other,signed,1.0,6.0,other,images_thesis\2294929_1_m.jpg
1696.0,51.2,38.2,Unique,female,independent,acrylic,signed,2.0,5.0,France,images_thesis\2161786_1_m.jpg
2500.0,47.2,39.3,Unique,female,gallery,other,signed,8.0,6.0,United States,images_thesis\1623822_1_m.jpg
972.0,21.7,18.1,Unique,female,independent,oil,signed,8.0,1.0,France,images_thesis\2291026_1_m.jpg
717.0,31.5,31.5,Unique,male,gallery,acrylic,signed,2.0,10.0,France,images_thesis\2193075_1_m.jpg
1400.0,31.0,39.0,Unique,female,gallery,oil,signed,1.0,3.0,other,images_thesis\2308454_1_m.jpg
1356.0,39.4,47.2,Unique,female,gallery,acrylic,signed,0.0,3.0,Ukraine,images_thesis\2289862_1_m.jpg
2750.0,36.0,36.0,Unique,female,gallery,acrylic,signed,1.0,3.0,United States,images_thesis\2278350_1_m.jpg
1336.0,10.6,8.7,Unique,male,gallery,other,signed,7.0,10.0,France,images_thesis\1047675_1_m.jpg
1850.0,31.5,29.5,Unique,male,gallery,acrylic,signed,0.0,3.0,other,images_thesis\2318433_1_m.jpg
3149.0,39.4,47.2,Unique,female,independent,acrylic,signed,1.0,3.0,other,images_thesis\2222009_1_m.jpg
486.0,23.6,15.7,Unique,male,gallery,other,signed,0.0,10.0,Spain,images_thesis\2314134_1_m.jpg
668.0,28.7,21.3,Unique,male,independent,other,signed,2.0,7.0,France,images_thesis\2176246_1_m.jpg
2147.0,46.5,41.7,Unique,male,gallery,other,signed,5.0,2.0,other,images_thesis\2313316_1_m.jpg
2426.0,19.7,29.5,Unique,male,gallery,oil,signed,0.0,10.0,other,images_thesis\2332921_1_m.jpg
2907.0,13.4,55.1,Unique,unknown,gallery,other,signed,6.0,11.0,France,images_thesis\485383_1_m.jpg
6207.0,16.1,12.3,Unique,female,gallery,other,signed,0.0,4.0,Spain,images_thesis\2311711_1_m.jpg
3573.0,21.7,18.1,Unique,unknown,gallery,oil,signed,8.0,9.0,France,images_thesis\1069011_1_m.jpg
5466.0,43.3,31.5,Unique,female,independent,acrylic,signed,1.0,1.0,other,images_thesis\2268275_1_m.jpg
972.0,15.7,23.6,Unique,female,gallery,oil,signed,7.0,3.0,other,images_thesis\2330038_1_m.jpg
790.0,19.7,15.7,Unique,unknown,gallery,other,signed,1.0,8.0,other,images_thesis\2221150_1_m.jpg
2422.0,39.4,31.9,Unique,male,gallery,acrylic,signed,1.0,7.0,France,images_thesis\2315347_1_m.jpg
486.0,15.7,15.7,Unique,female,gallery,oil,signed,0.0,4.0,France,images_thesis\2298246_1_m.jpg
2065.0,39.4,28.7,Unique,unknown,gallery,other,signed,2.0,2.0,other,images_thesis\2156825_1_m.jpg
3049.0,47.2,23.6,Unique,male,gallery,acrylic,signed,2.0,10.0,other,images_thesis\2250955_1_m.jpg
787.0,36.2,23.6,Unique,male,gallery,acrylic,signed,3.0,9.0,France,images_thesis\1622310_1_m.jpg
4118.0,39.4,39.4,Unique,male,gallery,other,signed,3.0,10.0,France,images_thesis\1688676_1_m.jpg
2180.0,31.5,23.6,Unique,male,gallery,acrylic,signed,1.0,10.0,France,images_thesis\2289261_1_m.jpg
1822.0,47.2,29.5,Unique,female,gallery,other,signed,7.0,11.0,France,images_thesis\2289312_1_m.jpg
600.0,36.0,24.0,Unique,female,gallery,other,signed,2.0,7.0,United States,images_thesis\2139998_1_m.jpg
729.0,21.7,18.3,Unique,male,gallery,oil,signed,19.0,9.0,France,images_thesis\2292181_1_m.jpg
231.0,6.0,3.0,Unique,female,independent,other,signed,0.0,3.0,France,images_thesis\2327622_1_m.jpg
3037.0,35.4,35.4,Unique,male,gallery,other,signed,3.0,8.0,France,images_thesis\2149400_1_m.jpg
790.0,25.6,19.3,Unique,female,gallery,other,signed,75.0,6.0,other,images_thesis\665781_1_m.jpg
2059.0,31.5,27.6,Unique,unknown,gallery,oil,not signed,1.0,3.0,Ukraine,images_thesis\2199271_1_m.jpg
1579.0,24.0,19.7,Unique,unknown,independent,oil,signed,4.0,4.0,France,images_thesis\1683816_1_m.jpg
2429.0,28.7,36.2,Unique,male,independent,acrylic,signed,4.0,4.0,France,images_thesis\1279881_1_m.jpg
692.0,15.7,19.7,Unique,female,independent,acrylic,signed,3.0,6.0,France,images_thesis\2310348_1_m.jpg
5466.0,31.5,31.5,Unique,unknown,gallery,acrylic,signed,2.0,1.0,other,images_thesis\2176113_1_m.jpg
960.0,19.7,19.7,Unique,male,gallery,acrylic,signed,0.0,4.0,France,images_thesis\2311873_1_m.jpg
4494.0,39.4,78.7,Unique,female,independent,oil,signed,2.0,6.0,other,images_thesis\2119950_1_m.jpg
4844.0,35.4,27.6,Unique,unknown,gallery,other,signed,1.0,8.0,other,images_thesis\2287000_1_m.jpg
2000.0,36.0,48.0,Unique,male,independent,acrylic,signed,15.0,6.0,United States,images_thesis\587100_1_m.jpg
5000.0,36.0,36.0,Unique,unknown,gallery,acrylic,signed,2.0,3.0,United States,images_thesis\2278460_1_m.jpg
1042.0,18.1,21.7,Unique,unknown,gallery,other,signed,9.0,1.0,France,images_thesis\2324851_1_m.jpg
